competitor_name,platform,text
bulkofficial,twitter,"It’s Monday. How are you starting your training this week?💪
Let us know👇"
bulkofficial,twitter,We’re by your side. We’re backing your comeback all the way @anthonyjoshua 🥊 #TeamBulk #UsykJoshua2 #TheComeback https://t.co/4G121XuLAe
bulkofficial,twitter,"The time has come. It’s the rematch we’ve all been waiting for.

Saturday August 20th 2022. Anthony Joshua v Oleksandr Usyk 2.

We’re backing you all the way @anthonyjoshua 🥊
#TeamBulk #RageOnTheRedSea #UsykJoshua2 #TheComeback https://t.co/hO5KNADiOs"
bulkofficial,twitter,We’re always looking for a reason to enjoy a refreshing glass of our new Peach Iced Tea Clear Whey Isolate. And National Iced Tea Day is the perfect excuse.🍑 https://t.co/wvopainwY3
bulkofficial,twitter,"Ready to shake up this summer?

It’s a clear choice. Hit your training and nutritional goals with our new products and flavours:
🍏 Clear Whey All In One
🍑 Clear Vegan Protein
🍓 Clear Whey Isolate New Flavours - Summer Fruits, Tropical, Peach Iced Tea

#TeamBulk https://t.co/MnMvSS2Rww"
bulkofficial,twitter,"Clear the whey for 3 new flavours.🍓🍍🍑

Yes, you read that right. We’re bringing you 3 delicious new Clear Whey Isolate flavours. (The emojis might be a hint.)

We want to hear your guesses.👇

#TeamBulk #ClearWhey https://t.co/ihazeIgbD9"
bulkofficial,twitter,New month. New goals. What are you working towards in June?
bulkofficial,twitter,"We’ve created this plant-protein dream by blending pea, sunflower, chickpea, hemp and pumpkin seed.🌱

✅ Powerfully packed with 23g protein per serving. 

The only question is, which flavour will you be choosing. Chocolate, Caramel or Strawberry?
#TeamBulk https://t.co/zW4DqMbzfR"
bulkofficial,twitter,"A vegan protein with a difference🌱
Five premium plant proteins. One superior shake.

A velvety texture and taste like no other. Available in three winning flavours:
🍓Strawberry 
🍮Caramel
🍫Chocolate

(PSA: You will be converted)👉

#TeamBulk https://t.co/AGgSv6sjsy"
bulkofficial,twitter,"Did someone say new flavours?🤩

Our Informed Whey Protein is a premium blend designed for elite athletes and serious trainers. 

And now available in 2 new delicious chocolate flavours🍫
Chocolate Peanut Butter and Chocolate Millionaires Shortbread

#TeamBulk https://t.co/q6ct8Oqeue"
